given_lat,given_lon,distance,formatted,lat,lon,name,housenumber,street,postcode,suburb,city,county,state,state_code,country,country_code,attribution,attribution_license,attribution_url
47.5112,-122.257,10.8733258420574,"10012 61st Avenue South, Seattle, WA 98178, United States of America",47.5112302,-122.25676111324441,,10012,61st Avenue South,98178,Rainier Beach,Seattle,King County,Washington,WA,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
47.721,-122.319,2.595498848652181,"837 Northeast 127th Street, Seattle, WA 98125, United States of America",47.72106685,-122.31909342613385,,837,Northeast 127th Street,98125,Northgate,Seattle,King County,Washington,WA,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
47.7379,-122.233,14.952584648261029,"15109 81st Avenue Northeast, Kenmore, WA 98028, United States of America",47.7379266,-122.233196,,15109,81st Avenue Northeast,98028,Moorlands,Kenmore,King County,Washington,WA,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
47.5208,-122.393,5.692894760297338,"9236 Fauntleroy Way Southwest, Seattle, WA 98136, United States of America",47.5208273,-122.39317386448599,,9236,Fauntleroy Way Southwest,98136,Fauntleroy,Seattle,King County,Washington,WA,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
47.6168,-122.045,7.5395611740663195,"901 221st Avenue NE, Sammamish, WA 98074, United States of America",47.616812,-122.044901,,901,221st Avenue NE,98074,,Sammamish,King County,Washington,WA,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
47.6561,-122.005,6.427305847407092,"25005 Northeast Patterson Way, Union Hill-Novelty Hill, WA 98053, United States of America",47.65612925,-122.00532886715584,,25005,Northeast Patterson Way,98053,,Union Hill-Novelty Hill,King County,Washington,WA,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
47.3097,-122.327,0.2671263234934599,"533 South 330th Place, Federal Way, WA 98003, United States of America",47.309697549999996,-122.32710884347944,,533,South 330th Place,98003,,Federal Way,King County,Washington,WA,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
47.4095,-122.315,4.866576500260347,"21421 14th Avenue South, Des Moines, WA 98198, United States of America",47.409549549999994,-122.31512848774693,,21421,14th Avenue South,98198,Des Moines Creek,Des Moines,King County,Washington,WA,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
47.5123,-122.337,6.54638359572523,"216 Southwest 102nd Street, Seattle, WA 98146, United States of America",47.5122979,-122.3371822494673,,216,Southwest 102nd Street,98146,White Center,Seattle,King County,Washington,WA,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
47.3684,-122.031,3.3066627271331916,"26007 232nd Place Southeast, Maple Valley, WA 98038, United States of America",47.3684071,-122.0308673,,26007,232nd Place Southeast,98038,Katesridge,Maple Valley,King County,Washington,WA,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
47.6007,-122.145,16.807427833979684,"1017 146th Avenue SE, Bellevue, WA 98007, United States of America",47.600671,-122.14478,,1017,146th Avenue SE,98007,,Bellevue,King County,Washington,WA,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
47.69,-122.292,0,"3169 Northeast 85th Street, Seattle, WA 98115, United States of America",47.69001495,-122.2920770114505,,3169,Northeast 85th Street,98115,Wedgwood,Seattle,King County,Washington,WA,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
47.7558,-122.229,5.014120508454052,"8308 NE 176th Court, Kenmore, WA 98028, United States of America",47.7556328,-122.2290091782599,,8308,NE 176th Court,98028,,Kenmore,King County,Washington,WA,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
47.6127,-122.045,6.619948065852583,"22110 NE 3rd Place, Sammamish, WA 98074, United States of America",47.612695,-122.045088,,22110,NE 3rd Place,98074,,Sammamish,King County,Washington,WA,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
47.67,-122.394,0,"2825 Northwest 57th Street, Seattle, WA 98107, United States of America",47.670004750000004,-122.39401213907469,,2825,Northwest 57th Street,98107,Sunset Hill,Seattle,King County,Washington,WA,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
47.5714,-122.375,17.056147756436822,"3400 SW Manning Street, Seattle, WA 98126, United States of America",47.571251,-122.374946,,3400,SW Manning Street,98126,North Admiral,Seattle,King County,Washington,WA,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
