date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_basement,yr_built,year_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,city,year,month,day
2014-10-13,221900.0,3,1.0,1180,5650.0,1.0,0,0,3,7,0,1955,0,98178,47.5112,-122.257,1340,5650,Seattle,2014,10,13
2014-12-09,538000.0,3,2.25,2570,7242.0,2.0,0,0,3,7,400,1951,1991,98125,47.721,-122.319,1690,7639,Seattle,2014,12,9
2015-02-25,180000.0,2,1.0,770,10000.0,1.0,0,0,3,6,0,1933,0,98028,47.7379,-122.233,2720,8062,Kenmore,2015,2,25
2014-12-09,604000.0,4,3.0,1960,5000.0,1.0,0,0,5,7,910,1965,0,98136,47.5208,-122.393,1360,5000,Seattle,2014,12,9
2015-02-18,510000.0,3,2.0,1680,8080.0,1.0,0,0,3,8,0,1987,0,98074,47.6168,-122.045,1800,7503,Sammamish,2015,2,18
2014-05-12,1225000.0,4,4.5,5420,101930.0,1.0,0,0,3,11,1530,2001,0,98053,47.6561,-122.005,4760,101930,Union Hill-Novelty Hill,2014,5,12
2014-06-27,257500.0,3,2.25,1715,6819.0,2.0,0,0,3,7,0,1995,0,98003,47.3097,-122.327,2238,6819,Federal Way,2014,6,27
2015-01-15,291850.0,3,1.5,1060,9711.0,1.0,0,0,3,7,0,1963,0,98198,47.4095,-122.315,1650,9711,Des Moines,2015,1,15
2015-04-15,229500.0,3,1.0,1780,7470.0,1.0,0,0,3,7,730,1960,0,98146,47.5123,-122.337,1780,8113,Seattle,2015,4,15
2015-03-12,323000.0,3,2.5,1890,6560.0,2.0,0,0,3,7,0,2003,0,98038,47.3684,-122.031,2390,7570,Maple Valley,2015,3,12
2015-04-03,662500.0,3,2.5,3560,9796.0,1.0,0,0,3,8,1700,1965,0,98007,47.6007,-122.145,2210,8925,Bellevue,2015,4,3
2014-05-27,468000.0,2,1.0,1160,6000.0,1.0,0,0,4,7,300,1942,0,98115,47.69,-122.292,1330,6000,Seattle,2014,5,27
2014-05-28,310000.0,3,1.0,1430,19901.0,1.5,0,0,4,7,0,1927,0,98028,47.7558,-122.229,1780,12697,Kenmore,2014,5,28
2014-10-07,400000.0,3,1.75,1370,9680.0,1.0,0,0,4,7,0,1977,0,98074,47.6127,-122.045,1370,10208,Sammamish,2014,10,7
2015-03-12,530000.0,5,2.0,1810,4850.0,1.5,0,0,3,7,0,1900,0,98107,47.67,-122.394,1360,4850,Seattle,2015,3,12
2015-01-24,650000.0,4,3.0,2950,5000.0,2.0,0,3,3,9,970,1979,0,98126,47.5714,-122.375,2140,4000,Seattle,2015,1,24
2014-07-31,395000.0,3,2.0,1890,14040.0,2.0,0,0,3,7,0,1994,0,98019,47.7277,-121.962,1890,14018,Duvall,2014,7,31
2014-05-29,485000.0,4,1.0,1600,4300.0,1.5,0,0,4,7,0,1916,0,98103,47.6648,-122.343,1610,4300,Seattle,2014,5,29
2014-12-05,189000.0,2,1.0,1200,9850.0,1.0,0,0,4,7,0,1921,0,98002,47.3089,-122.21,1060,5095,Auburn,2014,12,5
2015-04-24,230000.0,3,1.0,1250,9774.0,1.0,0,0,4,7,0,1969,0,98003,47.3343,-122.306,1280,8850,Federal Way,2015,4,24
